Time,MsgL,PLC/PCReq,DType,ProVer,MeasurementGroupNumber,PLCSendDelayTime,CommonBitValue,Lot_ID,Recipe_ID,M#00_ID,M#00_BitValue#0,M#00_BitValue#1,M#00_BitValue#2,M#00_BitValue#3,M#00_Recipe_Number,M#00_PV_Number,M#00_RAW_Number,M#00_Judge_Code,M#00_TimeBlock_01,M#00_TimeBlock_02,M#00_TimeBlock_03,M#00_TimeBlock_04,M#00_CellCountNo,M#01_ID,M#01_BitValue#0,M#01_BitValue#1,M#01_BitValue#2,M#01_BitValue#3,M#01_Recipe_Number,M#01_PV_Number,M#01_RAW_Number,M#01_Judge_Code,M#01_TimeBlock_01,M#01_TimeBlock_02,M#01_TimeBlock_03,M#01_TimeBlock_04,M#01_CellCountNo,BitModeValue
00:00:00.524198,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,735,67,0,0,2,0,0,0,5,0,0,0,0,341,736,67,0,0,2,0,0,0,5,0,0,0,0,341,0
00:00:01.050925,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,737,67,0,0,2,0,0,0,5,0,0,0,0,342,738,67,0,0,2,0,0,0,5,0,0,0,0,342,0
00:00:01.585030,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,739,67,0,0,2,0,0,0,5,100,100,0,0,343,740,67,0,0,2,0,0,0,5,100,100,0,0,343,0
00:00:02.112675,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,741,67,0,0,2,0,0,0,5,0,0,0,0,344,742,67,0,0,2,0,0,0,5,0,0,0,0,344,0
00:00:02.651462,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,743,67,0,0,2,0,0,0,5,0,0,0,0,345,744,67,0,0,2,0,0,0,5,0,0,0,0,345,0
00:00:03.178386,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,745,67,0,0,2,0,0,0,5,100,100,0,0,346,746,67,0,0,2,0,0,0,5,100,100,0,0,346,0
00:00:03.712658,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,747,67,0,0,2,0,0,0,5,100,100,0,0,347,749,67,0,0,2,0,0,0,5,100,100,0,0,347,0
00:00:04.244772,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,750,67,0,0,2,0,0,0,5,0,0,0,0,348,751,67,0,0,2,0,0,0,5,0,0,0,0,348,0
00:00:04.775765,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,752,67,0,0,2,0,0,0,5,100,100,0,0,349,753,67,0,0,2,0,0,0,5,100,100,0,0,349,0
00:00:05.304934,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,754,67,0,0,2,0,0,0,5,100,100,0,0,350,755,67,0,0,2,0,0,0,5,100,100,0,0,350,0
00:00:05.840634,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,756,67,0,0,2,0,0,0,5,0,0,0,0,351,757,67,0,0,2,0,0,0,5,0,0,0,0,351,0
00:00:06.371647,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,758,67,0,0,2,0,0,0,5,100,100,0,0,352,759,67,0,0,2,0,0,0,5,100,100,0,0,352,0
00:00:06.898497,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,766,67,0,0,2,0,0,0,5,100,100,0,0,353,767,67,0,0,2,0,0,0,5,100,100,0,0,353,0
00:00:07.428973,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,768,67,0,0,2,0,0,0,5,0,0,0,0,354,769,67,0,0,2,0,0,0,5,0,0,0,0,354,0
00:00:07.963310,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,770,67,0,0,2,0,0,0,5,100,100,0,0,355,771,67,0,0,2,0,0,0,5,100,100,0,0,355,0
00:00:08.497838,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,772,67,0,0,2,0,0,0,5,100,100,0,0,356,773,67,0,0,2,0,0,0,5,100,100,0,0,356,0
00:00:09.026800,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,774,67,0,0,2,0,0,0,5,0,0,0,0,357,775,67,0,0,2,0,0,0,5,0,0,0,0,357,0
00:00:09.566367,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,677,67,0,0,2,0,0,0,5,0,0,0,0,358,678,67,0,0,2,0,0,0,5,0,0,0,0,358,0
00:00:10.091574,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,679,67,0,0,2,0,0,0,5,100,100,0,0,359,680,67,0,0,2,0,0,0,5,100,100,0,0,359,0
00:00:10.628088,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,681,67,0,0,2,0,0,0,5,0,0,0,0,360,682,67,0,0,2,0,0,0,5,0,0,0,0,360,0
00:00:11.154621,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,683,67,0,0,2,0,0,0,5,0,0,0,0,361,684,67,0,0,2,0,0,0,5,0,0,0,0,361,0
00:00:11.685302,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,685,67,0,0,2,0,0,0,5,100,100,0,0,362,693,67,0,0,2,0,0,0,5,100,100,0,0,362,0
00:00:12.220307,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,694,67,0,0,2,0,0,0,5,0,0,0,0,363,695,67,0,0,2,0,0,0,5,0,0,0,0,363,0
00:00:12.751626,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,696,67,0,0,2,0,0,0,5,0,0,0,0,364,697,67,0,0,2,0,0,0,5,0,0,0,0,364,0
00:00:13.278997,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,698,67,0,0,2,0,0,0,5,100,100,0,0,365,699,67,0,0,2,0,0,0,5,100,100,0,0,365,0
00:00:13.813584,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,700,67,0,0,2,0,0,0,5,0,0,0,0,366,701,67,0,0,2,0,0,0,5,0,0,0,0,366,0
00:00:14.349974,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,702,67,0,0,2,0,0,0,5,0,0,0,0,367,703,67,0,0,2,0,0,0,5,0,0,0,0,367,0
00:00:14.874630,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,704,67,0,0,2,0,0,0,5,100,100,0,0,368,705,67,0,0,2,0,0,0,5,100,100,0,0,368,0
00:00:15.409260,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,706,67,0,0,2,0,0,0,5,100,100,0,0,369,708,67,0,0,2,0,0,0,5,100,100,0,0,369,0
00:00:15.939851,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,709,67,0,0,2,0,0,0,5,0,0,0,0,370,710,67,0,0,2,0,0,0,5,0,0,0,0,370,0
00:00:16.477338,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,711,67,0,0,2,0,0,0,5,100,100,0,0,371,712,67,0,0,2,0,0,0,5,100,100,0,0,371,0
00:00:17.005226,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,713,67,0,0,2,0,0,0,5,100,100,0,0,372,714,67,0,0,2,0,0,0,5,100,100,0,0,372,0
00:00:17.538382,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,715,67,0,0,2,0,0,0,5,0,0,0,0,373,716,67,0,0,2,0,0,0,5,0,0,0,0,373,0
00:00:18.069235,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,717,67,0,0,2,0,0,0,5,100,100,0,0,374,718,67,0,0,2,0,0,0,5,100,100,0,0,374,0
00:00:18.607926,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,725,67,0,0,2,0,0,0,5,100,100,0,0,375,726,67,0,0,2,0,0,0,5,100,100,0,0,375,0
00:00:19.136434,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,727,67,0,0,2,0,0,0,5,0,0,0,0,376,728,67,0,0,2,0,0,0,5,0,0,0,0,376,0
00:00:19.665067,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,729,67,0,0,2,0,0,0,5,100,100,0,0,377,730,67,0,0,2,0,0,0,5,100,100,0,0,377,0
00:00:20.201276,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,731,67,0,0,2,0,0,0,5,100,100,0,0,378,732,67,0,0,2,0,0,0,5,100,100,0,0,378,0
00:00:20.727612,991,0,0,10002,2,50,0,YDGNE3LCT1,H5,733,67,0,0,2,0,0,0,5,0,0,0,0,379,734,67,0,0,2,0,0,0,5,0,0,0,0,379,0
