Field_1,FilePath,Field_2,Field_3,Field_4,Field_5
D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000002836_11210-K#1.csv,,,,,
D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000002837_11210-K#2.csv,,,,,
20240724000002836,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000002836_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000002837,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000002837_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000012833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000012833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000012833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000012833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000022833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000022833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000022833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000022833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000032834,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000032834_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000032834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000032834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000042835,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000042835_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000042836,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000042836_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000052832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000052832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000052832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000052832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000102834,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000102834_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000102834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000102834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000112840,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000112840_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000112840,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000112840_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000122832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000122832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000122833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000122833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000132832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000132832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000132832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000132832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000142836,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000142836_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000142836,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000142836_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000152831,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000152831_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000152831,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000152831_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000202837,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000202837_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000202838,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000202838_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000212842,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000212842_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000212842,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000212842_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000222834,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000222834_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000222834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000222834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000232836,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000232836_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000232836,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000232836_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000242832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000242832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000242833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000242833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000252849,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000252849_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000252850,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000252850_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000302838,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000302838_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000302838,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000302838_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000312833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000312833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000312833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000312833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000322831,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000322831_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000322831,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000322831_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000332835,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000332835_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000332835,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000332835_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000342842,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000342842_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000342842,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000342842_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000352833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000352833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000352833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000352833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000402836,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000402836_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000402837,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000402837_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000412833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000412833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000412833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000412833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000422834,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000422834_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000422834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000422834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000432835,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000432835_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000432835,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000432835_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000442836,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000442836_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000442837,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000442837_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000452833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000452833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000452834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000452834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000502839,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000502839_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000502840,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000502840_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000512835,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000512835_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000512835,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000512835_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000522833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000522833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000522833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000522833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000532833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000532833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000532833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000532833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000542836,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000542836_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000542836,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000542836_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000552833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000552833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000552833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000552833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000602838,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000602838_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000602838,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000602838_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000612833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000612833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000612834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000612834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000622832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000622832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000622832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000622832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000632832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000632832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000632832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000632832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000642832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000642832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000642832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000642832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000652833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000652833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000652833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000652833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000702832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000702832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000702832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000702832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000712838,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000712838_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000712838,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000712838_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000722833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000722833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000722833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000722833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000732836,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000732836_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000732837,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000732837_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000742832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000742832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000742832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000742832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000752832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000752832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000752832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000752832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000802834,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000802834_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000802834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000802834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000812833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000812833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000812834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000812834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000822834,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000822834_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000822834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000822834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000832841,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000832841_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000832841,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000832841_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000842836,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000842836_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000842836,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000842836_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000852833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000852833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000852834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000852834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000902841,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000902841_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000902841,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000902841_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000912832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000912832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000912832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000912832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000922832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000922832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000922832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000922832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000932836,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000932836_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000932837,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000932837_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000942838,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000942838_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000942838,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000942838_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000952832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724000952832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724000952832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724000952832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001002832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001002832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001002833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001002833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001012842,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001012842_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001012843,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001012843_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001022833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001022833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001022834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001022834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001032832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001032832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001032832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001032832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001042837,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001042837_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001042837,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001042837_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001052831,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001052831_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001052832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001052832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001102834,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001102834_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001102834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001102834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001112837,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001112837_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001112837,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001112837_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001122833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001122833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001122833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001122833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001132836,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001132836_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001132837,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001132837_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001142834,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001142834_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001142834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001142834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001152833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001152833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001152833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001152833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001202841,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001202841_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001202841,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001202841_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001212835,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001212835_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001212836,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001212836_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001222832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001222832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001222833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001222833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001232836,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001232836_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001232836,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001232836_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001242838,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001242838_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001242838,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001242838_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001252832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001252832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001252833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001252833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001302841,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001302841_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001302841,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001302841_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001312833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001312833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001312833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001312833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001322831,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001322831_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001322831,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001322831_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001332838,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001332838_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001332838,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001332838_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001342837,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001342837_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001342838,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001342838_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001352831,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001352831_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001352831,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001352831_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001402851,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001402851_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001402852,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001402852_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001412832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001412832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001412832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001412832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001422831,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001422831_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001422831,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001422831_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001432833,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001432833_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001432833,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001432833_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001442832,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001442832_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001442832,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001442832_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001452834,D:\MeasureData\Status\11210-K#1\Status_11210-K_20240724001452834_11210-K#1.csv,1,V20240610,V20240610,YDGNE3LCT1
20240724001452834,D:\MeasureData\Status\11210-K#2\Status_11210-K_20240724001452834_11210-K#2.csv,1,V20240610,V20240610,YDGNE3LCT1
